"region";"nivå";"kjønn";"år";"statistikkvariabel";"09429: Personer 16 år og over, etter region, nivå, kjønn, år og statistikkvariabel"
"3002 Moss (2020-2023)";"03a Universitets- og høgskolenivå, kort";"1 Menn";"2021";"Personer 16 år og over";3937
"3002 Moss (2020-2023)";"03a Universitets- og høgskolenivå, kort";"1 Menn";"2022";"Personer 16 år og over";4069
"3002 Moss (2020-2023)";"03a Universitets- og høgskolenivå, kort";"1 Menn";"2023";"Personer 16 år og over";4224
"3002 Moss (2020-2023)";"04a Universitets- og høgskolenivå, lang";"0 Begge kjønn";"2020";"Personer 16 år og over";3426
"3002 Moss (2020-2023)";"04a Universitets- og høgskolenivå, lang";"0 Begge kjønn";"2021";"Personer 16 år og over";3657
"3002 Moss (2020-2023)";"04a Universitets- og høgskolenivå, lang";"0 Begge kjønn";"2022";"Personer 16 år og over";3966
"3002 Moss (2020-2023)";"04a Universitets- og høgskolenivå, lang";"0 Begge kjønn";"2023";"Personer 16 år og over";4227
"3002 Moss (2020-2023)";"04a Universitets- og høgskolenivå, lang";"2 Kvinner";"2020";"Personer 16 år og over";1613
"3002 Moss (2020-2023)";"04a Universitets- og høgskolenivå, lang";"2 Kvinner";"2021";"Personer 16 år og over";1740
"3002 Moss (2020-2023)";"04a Universitets- og høgskolenivå, lang";"2 Kvinner";"2022";"Personer 16 år og over";1922
"3002 Moss (2020-2023)";"04a Universitets- og høgskolenivå, lang";"2 Kvinner";"2023";"Personer 16 år og over";2102
"3002 Moss (2020-2023)";"04a Universitets- og høgskolenivå, lang";"1 Menn";"2020";"Personer 16 år og over";1813
"3002 Moss (2020-2023)";"04a Universitets- og høgskolenivå, lang";"1 Menn";"2021";"Personer 16 år og over";1917
"3002 Moss (2020-2023)";"04a Universitets- og høgskolenivå, lang";"1 Menn";"2022";"Personer 16 år og over";2044
"3002 Moss (2020-2023)";"04a Universitets- og høgskolenivå, lang";"1 Menn";"2023";"Personer 16 år og over";2125
