Dato;Nedbør m.m.pr døgn
03.04.2017;0
04.04.2017;0
05.04.2017;0
06.04.2017;0
07.04.2017;0
08.04.2017;0
09.04.2017;0
10.04.2017;0
11.04.2017;0
12.04.2017;2,7
13.04.2017;4,3
14.04.2017;6,8
15.04.2017;0
16.04.2017;0
17.04.2017;0
18.04.2017;0
19.04.2017;0
20.04.2017;0
21.04.2017;0
22.04.2017;0,2
23.04.2017;0
24.04.2017;1,2
25.04.2017;21,1
26.04.2017;0
27.04.2017;0
28.04.2017;0
29.04.2017;2,5
30.04.2017;0
01.05.2017;0
02.05.2017;0
03.05.2017;0
04.05.2017;0
05.05.2017;0
06.05.2017;0
07.05.2017;2,3
08.05.2017;0,2
09.05.2017;3,1
10.05.2017;2,6
17.05.2017;22,9
18.05.2017;15,2
19.05.2017;0,6
20.05.2017;0
21.05.2017;0,3
22.05.2017;0,1
23.05.2017;0,4
24.05.2017;0
25.05.2017;0
26.05.2017;0
27.05.2017;0
28.05.2017;0,1
29.05.2017;0
30.05.2017;0,1
31.05.2017;0,6
01.06.2017;0
02.06.2017;0
03.06.2017;1,2
04.06.2017;0,3
05.06.2017;2,7
06.06.2017;3,6
07.06.2017;1,2
08.06.2017;9,3
09.06.2017;5
10.06.2017;29,1
11.06.2017;0,5
12.06.2017;0,9
13.06.2017;11,3
14.06.2017;0,5
15.06.2017;0
16.06.2017;1,1
17.06.2017;6,3
18.06.2017;0
19.06.2017;0
20.06.2017;0
21.06.2017;0
22.06.2017;0
23.06.2017;0
24.06.2017;0
25.06.2017;0
26.06.2017;0
27.06.2017;0,1
28.06.2017;0
29.06.2017;0
30.06.2017;0
01.07.2017;0
02.07.2017;0
03.07.2017;0
04.07.2017;0,1
05.07.2017;0
06.07.2017;0
07.07.2017;0,1
08.07.2017;8,2
09.07.2017;1,5
10.07.2017;0
11.07.2017;5,4
12.07.2017;0,1
13.07.2017;0
14.07.2017;0
15.07.2017;0
16.07.2017;9,1
17.07.2017;5
18.07.2017;0
19.07.2017;0
20.07.2017;0
21.07.2017;0
22.07.2017;0
23.07.2017;0
24.07.2017;0
25.07.2017;0
26.07.2017;0,8
27.07.2017;0,4
28.07.2017;10,6
29.07.2017;0
30.07.2017;0,8
31.07.2017;6,8
01.08.2017;1,3
02.08.2017;0,9
03.08.2017;0,9
04.08.2017;8,8
05.08.2017;5,9
06.08.2017;7,3
07.08.2017;4,3
08.08.2017;2,2
29.09.2017;0
30.09.2017;0
01.10.2017;0
02.10.2017;19,3
03.10.2017;14,9
04.10.2017;0
05.10.2017;2,7
06.10.2017;0
07.10.2017;0
08.10.2017;0
09.10.2017;0
10.10.2017;0
11.10.2017;3,1
12.10.2017;20,2
